Date,Bank_Rate,CPI,GDP,Investment,Consumption,Unemployment,Bank_Rate_Change,CPI_Inflation,GDP_Growth,Investment_Growth,Consumption_Growth,Unemployment_Change,Bank_Rate_Lag1,Bank_Rate_Lag2,Bank_Rate_Lag3,Bank_Rate_Lag4
2020-01-01,0.75,100.0,500,120,300,4.0,,,,,,,,,,
2020-04-01,0.1,100.5,470,105,280,4.5,-0.65,,,,,0.5,0.75,,,
2020-07-01,0.1,101.0,490,110,290,5.0,0.0,,,,,0.5,0.1,0.75,,
2020-10-01,0.1,101.5,495,115,295,5.2,0.0,,,,,0.20000000000000018,0.1,0.1,0.75,
2021-01-01,0.1,102.0,500,118,300,5.0,0.0,2.0000000000000018,0.0,-1.6666666666666718,0.0,-0.20000000000000018,0.1,0.1,0.1,0.75
2021-04-01,0.1,103.0,510,125,310,4.8,0.0,2.487562189054726,8.51063829787233,19.047619047619047,10.71428571428572,-0.20000000000000018,0.1,0.1,0.1,0.1
2021-07-01,0.1,104.0,515,130,315,4.6,0.0,2.970297029702973,5.102040816326525,18.181818181818187,8.62068965517242,-0.20000000000000018,0.1,0.1,0.1,0.1
2021-10-01,0.1,105.0,520,132,318,4.5,0.0,3.4482758620689724,5.050505050505061,14.782608695652177,7.796610169491536,-0.09999999999999964,0.1,0.1,0.1,0.1
2022-01-01,0.25,107.0,525,135,320,4.3,0.15,4.90196078431373,5.000000000000004,14.406779661016955,6.666666666666665,-0.20000000000000018,0.1,0.1,0.1,0.1
2022-04-01,0.75,109.0,520,130,315,4.2,0.5,5.825242718446599,1.9607843137254832,4.0000000000000036,1.6129032258064502,-0.09999999999999964,0.25,0.1,0.1,0.1
2022-07-01,1.25,111.0,518,128,312,4.1,0.5,6.730769230769229,0.5825242718446644,-1.538461538461533,-0.952380952380949,-0.10000000000000053,0.75,0.25,0.1,0.1
2022-10-01,2.25,113.0,515,125,308,4.0,1.0,7.619047619047614,-0.9615384615384581,-5.303030303030298,-3.1446540880503138,-0.09999999999999964,1.25,0.75,0.25,0.1
2023-01-01,3.5,115.0,512,122,305,4.2,1.25,7.476635514018692,-2.4761904761904763,-9.629629629629633,-4.6875,0.20000000000000018,2.25,1.25,0.75,0.25
2023-04-01,4.25,116.0,510,120,302,4.3,0.75,6.422018348623859,-1.9230769230769273,-7.692307692307687,-4.126984126984123,0.09999999999999964,3.5,2.25,1.25,0.75
2023-07-01,5.0,117.0,508,118,300,4.5,0.75,5.405405405405395,-1.9305019305019266,-7.8125,-3.8461538461538436,0.20000000000000018,4.25,3.5,2.25,1.25
2023-10-01,5.25,116.5,507,117,299,4.6,0.25,3.0973451327433565,-1.553398058252431,-6.399999999999995,-2.922077922077926,0.09999999999999964,5.0,4.25,3.5,2.25
